Frequency,Radial velocity,Data
1420178479.2727273,-61.75886187740126,-53.89075174263784
1420183366.85826,-60.727282500550814,-53.61942610937372
1420188254.4437928,-59.69570312365004,-52.08965055538245
1420193142.0293255,-58.66412374679958,-55.2144198643363
1420198029.6148582,-57.63254436994914,-54.283003598854485
1420202917.200391,-56.600964993048365,-53.506431008371706
1420207804.7859237,-55.56938561619792,-51.6044800658663
1420212692.3714564,-54.53780623934747,-56.520849599672786
1420217579.9569893,-53.506226862446695,-52.856730078835795
1420222467.542522,-52.47464748559625,-53.592818021353786
1420227355.1280549,-51.44306810869548,-49.76712326382981
1420232242.7135875,-50.41148873184502,-54.323864963789966
1420237130.2991202,-49.379909354994574,-56.59665290331331
1420242017.884653,-48.3483299780938,-53.44631284196659
1420246905.4701858,-47.31675060124335,-52.88507769591007
1420251793.0557184,-46.285171224392904,-52.25039135216619
1420256680.6412513,-45.25359184749213,-53.019759343093526
1420261568.226784,-44.22201247064168,-54.052823793986974
1420266455.8123167,-43.19043309379123,-52.321220366887275
1420271343.3978496,-42.158853716890455,-52.65278345254256
1420276230.9833822,-41.12727434004001,-53.374351656267216
1420281118.568915,-40.09569496318956,-52.87856907276595
1420286006.1544478,-39.064115586288786,-50.32434650995022
1420290893.7399805,-38.032536209438334,-53.98968148004701
1420295781.3255131,-37.00095683258788,-50.927240224072044
1420300668.911046,-35.96937745568711,-52.12666611283219
1420305556.4965787,-34.937798078836664,-52.06740100593084
1420310444.0821114,-33.90621870198621,-51.77727261838097
1420315331.6676443,-32.87463932508544,-53.317804277811625
1420320219.253177,-31.843059948234988,-53.407903636890865
1420325106.8387096,-30.811480571384543,-52.51304806525133
1420329994.4242425,-29.77990119448377,-51.477431518036745
1420334882.0097752,-28.748321817633318,-53.87349781835857
1420339769.5953078,-27.716742440782866,-52.29402698539555
1420344657.1808407,-26.685163063882097,-51.4123103748149
1420349544.7663734,-25.65358368703165,-50.8317072760454
1420354432.351906,-24.622004310181197,-52.48386990526056
1420359319.937439,-23.590424933280424,-53.82559628120879
1420364207.5229716,-22.558845556429976,-52.57243015123463
1420369095.1085043,-21.527266179579524,-54.3568548728991
1420373982.6940372,-20.495686802678755,-53.09879042548136
1420378870.2795699,-19.464107425828303,-51.1665478107881
1420383757.8651025,-18.432528048977854,-51.83602337194255
1420388645.4506354,-17.40094867207708,-52.648164875857105
1420393533.036168,-16.36936929522663,-51.67018534174936
1420398420.6217008,-15.337789918376181,-53.65858841635514
1420403308.2072337,-14.30621054147541,-50.62199078440814
1420408195.7927663,-13.274631164624958,-47.278616043289325
1420413083.3782992,-12.243051787724188,-50.74535802927663
1420417970.963832,-11.211472410873737,-53.98858957626154
1420422858.5493646,-10.179893034023287,-52.54617704877027
1420427746.1348975,-9.148313657122515,-51.69045218758126
1420432633.7204301,-8.116734280272066,-55.13093155796294
1420437521.3059628,-7.085154903421615,-54.37713927616198
1420442408.8914957,-6.053575526520844,-55.258173016182006
